161,,Hispanic (of any race),"1,458","1,061",537,36.8,6.6,50.6,8.0,354,24.3,5.8,33.3,7.5
162,,White alone or in combination,"7,666","7,180","4,973",64.9,1.8,69.3,1.8,"3,857",50.3,1.9,53.7,1.9
163,,Black alone or in combination,"1,382","1,322",895,64.7,5.2,67.7,5.2,740,53.5,5.4,56.0,5.5
164,,Asian alone or in combination,688,470,214,31.2,7.4,45.6,9.6,160,23.2,6.7,34.0,9.2
165,INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4
166,,Male,"2,404","2,331","1,522",63.3,3.2,65.3,3.2,"1,115",46.4,3.3,47.8,3.4
167,,Female,"2,602","2,461","1,609",61.8,3.1,65.4,3.1,"1,249",48.0,3.2,50.7,3.3
168,,White alone,"4,260","4,125","2,723",63.9,2.4,66.0,2.4,"2,066",48.5,2.5,50.1,2.6
169,,White non-Hispanic alone,"3,937","3,921","2,634",66.9,2.5,67.2,2.5,"1,996",50.7,2.6,50.9,2.6
170,,Black alone,484,468,299,61.8,8.8,63.9,8.8,221,45.7,9.0,47.2,9.2
171,,Asian alone,138,98,40,28.9,16.0,40.5,20.5,27,19.7,14.1,27.6,18.7
172,,Hispanic (of any race),337,212,96,28.4,12.7,45.2,17.7,77,22.9,11.8,36.5,17.1
173,,White alone or in combination,"4,342","4,197","2,775",63.9,2.4,66.1,2.4,"2,099",48.3,2.5,50.0,2.5
174,,Black alone or in combination,544,518,329,60.4,8.3,63.5,8.4,245,45.0,8.5,47.2,8.7
175,,Asian alone or in combination,147,108,49,33.5,16.1,45.7,19.9,34,22.8,14.3,31.1,18.5
176,IOWA,Total,"2,376","2,239","1,658",69.8,2.6,74.0,2.5,"1,335",56.2,2.8,59.6,2.8
177,,Male,"1,176","1,105",833,70.8,3.6,75.4,3.5,660,56.1,3.9,59.7,4.0
178,,Female,"1,201","1,134",825,68.7,3.6,72.7,3.6,675,56.2,3.9,59.5,4.0
179,,White alone,"2,192","2,119","1,580",72.1,2.6,74.5,2.6,"1,270",57.9,2.9,59.9,2.9
180,,White non-Hispanic alone,"2,007","1,983","1,499",74.7,2.6,75.6,2.6,"1,206",60.1,3.0,60.8,3.0
181,,Black alone,89,76,47,52.6,17.4,61.3,18.3,41,46.4,17.4,54.1,18.8
182,,Asian alone,62,22,14,B,B,B,B,12,B,B,B,B
183,,Hispanic (of any race),206,148,85,41.5,14.7,57.8,17.4,69,33.5,14.1,46.7,17.5
184,,White alone or in combination,"2,218","2,133","1,591",71.8,2.6,74.6,2.6,"1,279",57.7,2.8,60.0,2.9
185,,Black alone or in combination,100,80,49,48.9,16.5,60.6,17.9,41,41.4,16.2,51.3,18.3
186,,Asian alone or in combination,72,26,19,B,B,B,B,16,B,B,B,B
187,KANSAS,Total,"2,149","2,026","1,449",67.4,2.8,71.5,2.8,"1,152",53.6,3.0,56.9,3.0
188,,Male,"1,049",980,692,66.0,4.1,70.6,4.0,554,52.8,4.3,56.5,4.4
189,,Female,"1,100","1,046",757,68.8,3.9,72.4,3.8,598,54.4,4.2,57.2,4.2
190,,White alone,"1,880","1,777","1,311",69.7,2.9,73.8,2.9,"1,028",54.7,3.2,57.8,3.2
191,,White non-Hispanic alone,"1,667","1,662","1,249",74.9,2.9,75.2,2.9,982,58.9,3.3,59.1,3.3
192,,Black alone,129,125,65,50.1,14.7,51.9,15.0,58,44.9,14.7,46.5,15.0
193,,Asian alone,59,46,33,B,B,B,B,33,B,B,B,B
194,,Hispanic (of any race),231,134,71,30.8,13.2,53.3,18.8,55,23.9,12.2,41.4,18.5
195,,White alone or in combination,"1,934","1,831","1,338",69.2,2.9,73.1,2.9,"1,050",54.3,3.1,57.3,3.2
196,,Black alone or in combination,136,131,66,48.9,14.4,50.6,14.6,60,43.9,14.3,45.4,14.6
197,,Asian alone or in combination,64,51,36,B,B,B,B,36,B,B,B,B
198,KENTUCKY,Total,"3,370","3,249","2,389",70.9,2.6,73.5,2.6,"1,746",51.8,2.9,53.8,2.9
199,,Male,"1,627","1,553","1,092",67.1,3.9,70.3,3.8,789,48.5,4.1,50.8,4.2
200,,Female,"1,743","1,696","1,297",74.5,3.5,76.5,3.4,958,55.0,3.9,56.5,4.0
201,,White alone,"3,014","2,954","2,194",72.8,2.7,74.3,2.7,"1,587",52.7,3.0,53.7,3.0
202,,White non-Hispanic alone,"2,928","2,921","2,183",74.5,2.7,74.7,2.7,"1,579",53.9,3.1,54.1,3.1
203,,Black alone,248,233,164,66.2,12.0,70.7,12.0,131,52.8,12.7,56.4,13.0
204,,Asian alone,82,37,14,17.4,17.5,B,B,12,14.1,16.0,B,B
205,,Hispanic (of any race),96,37,15,15.8,19.4,B,B,12,12.9,17.8,B,B
206,,White alone or in combination,"3,036","2,976","2,207",72.7,2.7,74.2,2.7,"1,600",52.7,3.0,53.8,3.0
207,,Black alone or in combination,264,248,171,64.8,11.8,68.9,11.8,138,52.2,12.3,55.5,12.7
208,,Asian alone or in combination,82,37,14,17.4,17.5,B,B,12,14.1,16.0,B,B
209,LOUISIANA,Total,"3,458","3,326","2,263",65.4,2.6,68.0,2.6,"1,656",47.9,2.7,49.8,2.7
210,,Male,"1,635","1,557","1,032",63.1,3.8,66.3,3.8,774,47.3,3.9,49.7,4.0
211,,Female,"1,823","1,770","1,231",67.5,3.5,69.5,3.5,882,48.4,3.7,49.8,3.8
212,,White alone,"2,212","2,120","1,501",67.9,3.1,70.8,3.1,"1,075",48.6,3.4,50.7,3.4
213,,White non-Hispanic alone,"2,047","2,023","1,455",71.1,3.2,71.9,3.2,"1,046",51.1,3.5,51.7,3.5
214,,Black alone,"1,076","1,072",688,63.9,5.6,64.1,5.6,531,49.4,5.8,49.5,5.9
215,,Asian alone,60,34,17,B,B,B,B,9,B,B,B,B
216,,Hispanic (of any race),189,112,56,29.7,16.5,50.2,23.5,35,18.4,14.0,31.1,21.8
217,,White alone or in combination,"2,289","2,188","1,543",67.4,3.1,70.5,3.1,"1,106",48.3,3.3,50.6,3.4
218,,Black alone or in combination,"1,133","1,125",712,62.9,5.5,63.4,5.5,552,48.7,5.7,49.1,5.7
219,,Asian alone or in combination,70,42,23,B,B,B,B,12,B,B,B,B
220,MAINE,Total,"1,074","1,056",828,77.1,2.6,78.4,2.5,693,64.5,2.9,65.6,2.9
221,,Male,527,519,397,75.4,3.7,76.6,3.7,329,62.4,4.2,63.4,4.2
222,,Female,546,537,431,78.8,3.5,80.1,3.4,364,66.6,4.0,67.7,4.0
223,,White alone,"1,011","1,002",796,78.7,2.6,79.4,2.5,669,66.2,3.0,66.8,3.0
