223,.Total,KANSAS-Total,"1,990","1,851",93.1,1.1,"1,338",67.2,2.1,"1,188",59.7,2.2
224,.Male,.Male,970,896,92.4,1.7,633,65.3,3.0,554,57.1,3.1
225,.Female,.Female,"1,019",955,93.7,1.5,704,69.1,2.8,633,62.1,3.0
226,.White alone,.White alone,"1,768","1,671",94.5,1.1,"1,224",69.2,2.1,"1,101",62.2,2.3
227,..White non-Hispanic alone,..White non-Hispanic alone,"1,649","1,624",98.5,0.6,"1,198",72.7,2.1,"1,076",65.3,2.3
228,.Black alone,.Black alone,99,97,(B),(B),64,(B),(B),53,(B),(B)
229,.Asian alone,.Asian alone,73,34,(B),(B),14,(B),(B),11,(B),(B)
230,.Hispanic (of any race),.Hispanic (of any race),132,55,41.6,13.2,30,22.7,11.2,28,21.5,11.0
231,.White alone or in combination,.White alone or in combination,"1,803","1,706",94.6,1.0,"1,250",69.3,2.1,"1,117",62.0,2.2
232,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"1,682","1,657",98.5,0.6,"1,223",72.7,2.1,"1,091",64.9,2.3
233,.Black alone or in combination ,.Black alone or in combination ,102,100,98.3,3.0,66,64.3,11.2,54,52.6,11.7
234,.Asian alone or in combination,.Asian alone or in combination,73,34,(B),(B),14,(B),(B),11,(B),(B)
236,.Total,KENTUCKY-Total,"3,042","2,969",97.6,0.7,"2,231",73.3,2.1,"1,930",63.4,2.2
237,.Male,.Male,"1,454","1,407",96.8,1.2,"1,039",71.5,3.0,884,60.8,3.3
238,.Female,.Female,"1,588","1,562",98.4,0.8,"1,192",75.1,2.8,"1,046",65.9,3.1
239,.White alone,.White alone,"2,775","2,729",98.4,0.6,"2,041",73.6,2.2,"1,765",63.6,2.3
240,..White non-Hispanic alone,..White non-Hispanic alone,"2,736","2,709",99.0,0.5,"2,024",74.0,2.2,"1,749",63.9,2.4
241,.Black alone,.Black alone,204,198,97.2,3.6,158,77.3,9.1,140,68.5,10.1
242,.Asian alone,.Asian alone,27,6,(B),(B),6,(B),(B),6,(B),(B)
243,.Hispanic (of any race),.Hispanic (of any race),44,20,(B),(B),18,(B),(B),16,(B),(B)
244,.White alone or in combination,.White alone or in combination,"2,799","2,754",98.4,0.6,"2,061",73.6,2.1,"1,778",63.5,2.3
245,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"2,760","2,733",99.0,0.5,"2,044",74.0,2.1,"1,763",63.9,2.4
246,.Black alone or in combination ,.Black alone or in combination ,205,200,97.2,3.6,158,76.8,9.2,140,68.0,10.1
247,.Asian alone or in combination,.Asian alone or in combination,27,6,(B),(B),6,(B),(B),6,(B),(B)
249,.Total,LOUISIANA-Total,"3,277","3,218",98.2,0.7,"2,413",73.6,2.2,"2,067",63.1,2.4
250,.Male,.Male,"1,528","1,502",98.3,1.0,"1,132",74.1,3.2,963,63.0,3.6
251,.Female,.Female,"1,749","1,716",98.1,0.9,"1,281",73.2,3.1,"1,104",63.1,3.3
252,.White alone,.White alone,"2,260","2,210",97.8,0.9,"1,697",75.1,2.6,"1,446",64.0,2.9
253,..White non-Hispanic alone,..White non-Hispanic alone,"2,191","2,180",99.5,0.4,"1,678",76.6,2.6,"1,430",65.2,2.9
254,.Black alone,.Black alone,976,966,99.0,1.1,693,71.1,5.1,606,62.1,5.4
255,.Asian alone,.Asian alone,8,8,(B),(B),2,(B),(B),2,(B),(B)
