index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
233,HISPANIC ORIGIN,20,16,16,33,21,36,42,39,35,60,62,122,93,105
234,PENNSYLVANIA TOTAL,3854,4951,3503,4988,3925,5845,4394,5747,4104,5824,3803,6008,5173,6756
235,MALE,1886,2428,1658,2373,1882,2740,2091,2664,1956,2740,1768,2793,2445,3192
236,FEMALE,1968,2523,1845,2615,2043,3105,2302,3083,2148,3084,2035,3215,2728,3564
237,WHITE,3404,4463,41,4482,3568,5291,4027,5126,3674,5074,3375,5153,4461,5875
238,BLACK,421,453,3203,457,339,474,305,535,368,614,341,637,562,694
239,HISPANIC ORIGIN,32,64,288,68,66,88,77,161,79,184,119,229,154,270
240,RHODE ISLAND TOTAL,373,439,352,438,372,467,431,507,348,469,331,464,403,515
241,MALE,178,201,168,193,180,213,197,228,168,212,154,213,186,246
242,FEMALE,195,238,184,245,192,253,234,279,180,257,177,251,217,269
243,WHITE,358,424,2,419,357,442,401,468,329,420,311,403,374,462
244,BLACK,12,10,340,13,11,17,17,27,12,30,16,34,16,37
245,HISPANIC ORIGIN,6,7,9,4,12,13,19,20,10,32,13,57,30,36
246,SOUTH CAROLINA TOTAL,1217,1479,1328,1725,1353,1899,1376,2100,1700,2187,1514,2233,1836,2459
247,MALE,581,660,593,752,638,862,605,926,777,940,699,992,828,1158
248,FEMALE,636,819,734,973,714,1037,771,1175,922,1247,815,1241,1007,1302
249,WHITE,872,1127,3,1310,1003,1387,935,1466,1190,1515,1075,1529,1276,1845
250,BLACK,341,338,1004,402,347,498,419,615,482,631,419,628,519,546
251,HISPANIC ORIGIN,0,6,317,7,18,13,7,18,4,16,14,31,19,62
252,SOUTH DAKOTA TOTAL,317,336,268,311,375,378,358,390,322,370,273,362,331,380
253,MALE,152,161,138,149,171,174,167,178,151,180,132,171,160,189
254,FEMALE,165,175,130,162,204,204,191,212,171,191,141,191,170,191
255,WHITE,313,323,2,298,360,366,346,372,304,341,259,340,305,351
256,BLACK,1,1,262,1,2,,,2,1,,3,3,1,4
257,HISPANIC ORIGIN,1,1,0,1,2,4,4,3,3,3,,7,4,5
258,TENNESSEE TOTAL,1662,2133,1478,2183,1897,2319,2003,2516,1714,2606,1763,2630,2487,3346
259,MALE,842,1032,708,1042,911,1075,927,1119,789,1172,793,1218,1174,1563
260,FEMALE,820,1100,769,1142,986,1243,1076,1397,925,1434,970,1412,1313,1783
261,WHITE,1452,1728,0,1836,1659,1954,1723,2067,1433,2098,1481,2176,2039,2677
262,BLACK,198,401,1225,344,222,334,268,405,242,441,244,402,368,592
263,HISPANIC ORIGIN,0,3,248,11,6,9,6,34,19,84,13,27,48,63
264,TEXAS TOTAL,4964,6210,4636,7005,5283,7950,5526,8435,5600,8643,5836,9626,8886,11874
265,MALE,2325,2929,2150,3305,2485,3684,2569,3862,2631,3925,2600,4465,4064,5580
266,FEMALE,2639,3281,2487,3700,2797,4266,2957,4573,2969,4719,3236,5162,4822,6295
267,WHITE,4447,5392,623,6042,4385,6706,4711,6978,4631,6900,4820,7700,7158,9612
268,BLACK,426,681,4020,803,774,931,655,1194,770,1352,777,1349,1203,1521
269,HISPANIC ORIGIN,740,1060,572,1300,982,1533,945,1697,1012,1890,1092,1938,1918,2972
270,UTAH TOTAL,544,707,562,829,631,1022,603,939,695,1022,703,1234,1214,1386
271,MALE,260,329,266,386,295,494,294,431,338,494,339,613,568,647
272,FEMALE,285,378,296,443,337,529,309,509,357,528,364,621,646,739
273,WHITE,537,698,17,815,618,1003,588,909,676,989,678,1181,1171,1293
274,BLACK,4,2,558,4,7,5,2,12,2,9,6,7,5,9
275,HISPANIC ORIGIN,8,25,0,20,11,27,27,21,13,49,28,86,82,89
276,VERMONT TOTAL,212,258,229,290,256,316,273,308,265,308,205,305,273,342
277,MALE,97,120,110,131,116,147,130,146,126,146,93,144,132,163
278,FEMALE,114,139,119,159,140,168,143,162,138,162,112,161,141,178
279,WHITE,210,256,1,290,252,308,267,300,259,293,202,293,263,332
280,BLACK,0,1,227,,1,,,3,1,3,,1,1,1
281,HISPANIC ORIGIN,1,3,0,2,1,2,2,2,1,3,2,3,6,4
282,VIRGINIA TOTAL,2204,2796,1496,2962,1808,3134,2431,3650,2257,3778,2453,3973,3319,4275
283,MALE,1032,1240,719,1344,905,1444,1144,1641,1047,1709,1200,1806,1578,1981
284,FEMALE,1173,1556,777,1619,902,1690,1287,2010,1210,2069,1253,2168,1742,2293
285,WHITE,1828,2206,0,2375,1437,2586,2017,2778,1780,2872,1924,2891,2412,3204
286,BLACK,334,548,1219,532,288,477,355,686,370,715,394,738,637,722
